,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
0,"KLCC, Kuala Lumpur","RM 1,250,000",2+1,3.0,2.0,Serviced Residence,"Built-up : 1,335 sq. ft.",Fully Furnished
1,"Dutamas, Kuala Lumpur","RM 1,030,000",3,4.0,2.0,Condominium (Corner),"Built-up : 1,875 sq. ft.",Partly Furnished
2,"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,3.0,2.0,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished
3,"Taman Tun Dr Ismail, Kuala Lumpur","RM 5,350,000",4+2,5.0,4.0,Bungalow,Land area : 7200 sq. ft.,Partly Furnished
4,"Taman Tun Dr Ismail, Kuala Lumpur","RM 2,600,000",5,4.0,4.0,Semi-detached House,Land area : 3600 sq. ft.,Partly Furnished
5,"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,950,000",4+1,4.0,3.0,2-sty Terrace/Link House (EndLot),Land area : 25x75 sq. ft.,Partly Furnished
6,"Sri Petaling, Kuala Lumpur","RM 385,000",3,2.0,1.0,Apartment (Intermediate),Built-up : 904 sq. ft.,Partly Furnished
7,"Taman Tun Dr Ismail, Kuala Lumpur","RM 4,580,000",6+1,5.0,5.0,Bungalow (Intermediate),Land area : 6000 sq. ft.,Partly Furnished
8,"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 9,000,000",6+1,7.0,4.0,Bungalow (Corner),Land area : 8500 sq. ft.,Partly Furnished
9,"Mont Kiara, Kuala Lumpur","RM 1,780,000",4+1,4.0,2.0,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
10,"Mont Kiara, Kuala Lumpur","RM 3,450,000",4+1,6.0,3.0,Condominium (Corner),"Built-up : 3,720 sq. ft.",Fully Furnished
11,"Desa ParkCity, Kuala Lumpur","RM 1,500,000",3+2,4.0,2.0,Condominium (Corner),"Built-up : 1,798 sq. ft.",Partly Furnished
12,"Damansara Heights, Kuala Lumpur","RM 1,550,000",1,1.0,1.0,Serviced Residence (Intermediate),Built-up : 904 sq. ft.,Fully Furnished
13,"Mont Kiara, Kuala Lumpur","RM 1,500,000",3+1,4.0,3.0,Condominium,"Built-up : 2,163 sq. ft.",Fully Furnished
14,"Bangsar South, Kuala Lumpur","RM 490,000",1,1.0,1.0,Serviced Residence,Built-up : 520 sq. ft.,Fully Furnished
15,"Bukit Jalil, Kuala Lumpur","RM 610,000",3+1,2.0,2.0,Condominium (Intermediate),"Built-up : 1,236 sq. ft.",Partly Furnished
16,"Dutamas, Kuala Lumpur","RM 1,035,880",3+1,4.0,1.0,Condominium (EndLot),"Built-up : 1,876 sq. ft.",Partly Furnished
17,"Ampang Hilir, Kuala Lumpur","RM 3,300,000",4+1,4.0,4.0,Condominium,"Built-up : 3,536 sq. ft.",Unfurnished
18,"Ampang Hilir, Kuala Lumpur","RM 460,000",1,1.0,1.0,Serviced Residence,Built-up : 613 sq. ft.,Fully Furnished
19,"KLCC, Kuala Lumpur","RM 2,400,000",2,2.0,1.0,Serviced Residence,"Built-up : 1,006 sq. ft.",Fully Furnished
20,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,438,000",3+2,4.0,3.0,Condominium (Corner),"Built-up : 2,378 sq. ft.",Partly Furnished
21,"Mont Kiara, Kuala Lumpur","RM 1,720,000",3+2,6.0,3.0,Condominium (Corner),"Built-up : 2,020 sq. ft.",Partly Furnished
22,"KLCC, Kuala Lumpur","RM 4,280,000",3+1,4.0,2.0,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Fully Furnished
23,"KLCC, Kuala Lumpur","RM 2,300,000",1,2.0,1.0,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished
24,"Damansara Heights, Kuala Lumpur","RM 4,200,000",6,5.0,5.0,Bungalow,Land area : 5274 sq. ft.,Partly Furnished
25,"Sungai Besi, Kuala Lumpur","RM 900,000",6,5.0,3.0,3-sty Terrace/Link House (Intermediate),Land area : 20 X 80 sq. ft.,Fully Furnished
26,"KLCC, Kuala Lumpur","RM 2,700,000",3+1,4.0,3.0,Serviced Residence (Corner),"Built-up : 3,095 sq. ft.",Fully Furnished
27,"Mont Kiara, Kuala Lumpur","RM 1,080,000",2,2.0,1.0,Serviced Residence,Built-up : 896 sq. ft.,Fully Furnished
28,"Mont Kiara, Kuala Lumpur","RM 1,150,000",3,2.0,2.0,Condominium (Corner),"Built-up : 1,200 sq. ft.",Partly Furnished
29,"Bukit Jalil, Kuala Lumpur","RM 1,070,000",4+1,4.0,4.0,Condominium (EndLot),"Built-up : 1,772 sq. ft.",Partly Furnished
30,"Bukit Jalil, Kuala Lumpur","RM 930,000",4,3.0,2.0,Condominium (EndLot),"Built-up : 1,513 sq. ft.",Partly Furnished
31,"Bangsar South, Kuala Lumpur","RM 780,000",2,2.0,1.0,Serviced Residence (Corner),Built-up : 880 sq. ft.,Partly Furnished
32,"KLCC, Kuala Lumpur","RM 4,098,000",3+1,3.0,2.0,Serviced Residence (Intermediate),"Built-up : 2,066 sq. ft.",Partly Furnished
33,"KL City, Kuala Lumpur","RM 1,800,000",2,2.0,1.0,Serviced Residence (Duplex),"Built-up : 1,244 sq. ft.",Fully Furnished
34,"Mont Kiara, Kuala Lumpur","RM 2,300,000",4+1,5.0,2.0,Condominium (Corner),"Built-up : 2,702 sq. ft.",Partly Furnished
35,"KLCC, Kuala Lumpur","RM 4,000,000",3+1,3.0,2.0,Condominium (Intermediate),"Built-up : 2,250 sq. ft.",Fully Furnished
36,"Ampang Hilir, Kuala Lumpur","RM 4,800,000",5,6.0,3.0,Condominium,"Built-up : 4,300 sq. ft.",Partly Furnished
37,"Ampang Hilir, Kuala Lumpur","RM 3,780,000",4+1,5.0,4.0,Condominium (Corner),"Built-up : 3,628 sq. ft.",Partly Furnished
38,"Bangsar South, Kuala Lumpur","RM 850,000",2+1,2.0,1.0,Serviced Residence,"Built-up : 1,050 sq. ft.",Fully Furnished
39,"KLCC, Kuala Lumpur","RM 1,698,800",2,2.0,1.0,Serviced Residence (Intermediate),"Built-up : 1,227 sq. ft.",Fully Furnished
40,"Sungai Besi, Kuala Lumpur","RM 999,000",4+1,4.0,2.0,3-sty Terrace/Link House (Intermediate),"Built-up : 2,512 sq. ft.",Partly Furnished
41,"KL Sentral, Kuala Lumpur","RM 3,500,000",1,1.0,1.0,Serviced Residence,"Built-up : 1,648 sq. ft.",Partly Furnished
42,"KLCC, Kuala Lumpur","RM 1,500,000",2,2.0,1.0,Serviced Residence (Corner),"Built-up : 1,022 sq. ft.",Fully Furnished
43,"KLCC, Kuala Lumpur","RM 2,300,000",1,2.0,1.0,Serviced Residence (Intermediate),"Built-up : 1,023 sq. ft.",Partly Furnished
44,"Mont Kiara, Kuala Lumpur","RM 1,830,000",3+1,4.0,2.0,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
45,"Taman Melawati, Kuala Lumpur","RM 750,000",4,3.0,3.0,2-sty Terrace/Link House,Land area : 24 X 75 sq. ft.,Partly Furnished
46,"Setapak, Kuala Lumpur","RM 580,000",4+1,2.0,2.0,Condominium (Corner),"Built-up : 1,550 sq. ft.",Partly Furnished
47,"Mont Kiara, Kuala Lumpur","RM 2,180,000",4+1,4.0,3.0,Condominium (Corner),"Built-up : 3,000 sq. ft.",Partly Furnished
48,"KLCC, Kuala Lumpur","RM 2,030,000",3+1,5.0,2.0,Condominium,"Built-up : 2,356 sq. ft.",Fully Furnished
49,"Mont Kiara, Kuala Lumpur","RM 3,450,000",4+1,6.0,3.0,Condominium,"Built-up : 3,720 sq. ft.",Fully Furnished
50,"City Centre, Kuala Lumpur","RM 4,080,000",4+1,5.0,2.0,Condominium (Corner),"Built-up : 3,713 sq. ft.",Partly Furnished
51,"Taman Tun Dr Ismail, Kuala Lumpur","RM 2,880,000",4+1,3.0,4.0,2-sty Terrace/Link House (Corner),Land area : 4244 sq. ft.,Partly Furnished
52,"KLCC, Kuala Lumpur","RM 1,799,000",1,1.0,1.0,Serviced Residence,Built-up : 720 sq. ft.,Fully Furnished
53,"KLCC, Kuala Lumpur","RM 1,820,000",2+1,2.0,2.0,Condominium (Corner),"Built-up : 1,159 sq. ft.",Fully Furnished
54,"KLCC, Kuala Lumpur","RM 1,000,000",3+1,3.0,2.0,Serviced Residence (Corner),"Built-up : 1,313 sq. ft.",Partly Furnished
55,"KLCC, Kuala Lumpur","RM 1,650,000",3+1,5.0,2.0,Condominium (Corner),"Built-up : 1,905 sq. ft.",Fully Furnished
56,"KLCC, Kuala Lumpur","RM 2,300,000",1,1.0,2.0,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished
57,"Mont Kiara, Kuala Lumpur","RM 2,400,000",4+1,5.0,3.0,Condominium,Land area : 2702 sq. ft.,Partly Furnished
58,"KLCC, Kuala Lumpur","RM 2,055,000",1+1,1.0,1.0,Serviced Residence (Intermediate),Built-up : 797 sq. ft.,Partly Furnished
59,"KLCC, Kuala Lumpur","RM 1,714,000",1,1.0,1.0,Serviced Residence (Intermediate),Built-up : 700 sq. ft.,Partly Furnished
60,"KLCC, Kuala Lumpur","RM 2,300,000",3+1,4.0,3.0,Serviced Residence (Corner),"Built-up : 3,282 sq. ft.",Partly Furnished
61,"Bukit Jalil, Kuala Lumpur","RM 920,000",4+1,3.0,2.0,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished
62,"KLCC, Kuala Lumpur","RM 2,300,000",1,1.0,2.0,Serviced Residence (Intermediate),"Built-up : 1,046 sq. ft.",Partly Furnished
63,"Taman Tun Dr Ismail, Kuala Lumpur","RM 4,995,000",5+1,7.0,6.0,Bungalow,Land area : 8113 sq. ft.,Partly Furnished
