,Price,Bathrooms,Car Parks,Property Type,Size,Furnishing,area,No_of_Bedrooms,No_of_servant_rooms,type,size,studio_apartment
0,1250000,3,2,Serviced Residence,"Built-up : 1,335 sq. ft.",Fully Furnished,KLCC,2,1,Built-up ,1335,0
1,1030000,4,2,Condominium (Corner),"Built-up : 1,875 sq. ft.",Partly Furnished,Dutamas,3,0,Built-up ,1875,0
2,900000,3,2,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished,Bukit Jalil,4,1,Built-up ,1513,0
3,5350000,5,4,Bungalow,Land area : 7200 sq. ft.,Partly Furnished,Taman Tun Dr Ismail,4,2,Land area ,7200,0
4,2600000,4,4,Semi-detached House,Land area : 3600 sq. ft.,Partly Furnished,Taman Tun Dr Ismail,5,0,Land area ,3600,0
5,385000,2,1,Apartment (Intermediate),Built-up : 904 sq. ft.,Partly Furnished,Sri Petaling,3,0,Built-up ,904,0
6,4580000,5,5,Bungalow (Intermediate),Land area : 6000 sq. ft.,Partly Furnished,Taman Tun Dr Ismail,6,1,Land area ,6000,0
7,9000000,7,4,Bungalow (Corner),Land area : 8500 sq. ft.,Partly Furnished,Bukit Tunku (Kenny Hills),6,1,Land area ,8500,0
8,1780000,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,1830,0
9,3450000,6,3,Condominium (Corner),"Built-up : 3,720 sq. ft.",Fully Furnished,Mont Kiara,4,1,Built-up ,3720,0
10,1500000,4,2,Condominium (Corner),"Built-up : 1,798 sq. ft.",Partly Furnished,Desa ParkCity,3,2,Built-up ,1798,0
11,1550000,1,1,Serviced Residence (Intermediate),Built-up : 904 sq. ft.,Fully Furnished,Damansara Heights,1,0,Built-up ,904,0
12,1500000,4,3,Condominium,"Built-up : 2,163 sq. ft.",Fully Furnished,Mont Kiara,3,1,Built-up ,2163,0
13,490000,1,1,Serviced Residence,Built-up : 520 sq. ft.,Fully Furnished,Bangsar South,1,0,Built-up ,520,0
14,610000,2,2,Condominium (Intermediate),"Built-up : 1,236 sq. ft.",Partly Furnished,Bukit Jalil,3,1,Built-up ,1236,0
15,1035880,4,1,Condominium (EndLot),"Built-up : 1,876 sq. ft.",Partly Furnished,Dutamas,3,1,Built-up ,1876,0
16,3300000,4,4,Condominium,"Built-up : 3,536 sq. ft.",Unfurnished,Ampang Hilir,4,1,Built-up ,3536,0
17,460000,1,1,Serviced Residence,Built-up : 613 sq. ft.,Fully Furnished,Ampang Hilir,1,0,Built-up ,613,0
18,2400000,2,1,Serviced Residence,"Built-up : 1,006 sq. ft.",Fully Furnished,KLCC,2,0,Built-up ,1006,0
19,1438000,4,3,Condominium (Corner),"Built-up : 2,378 sq. ft.",Partly Furnished,Jalan Klang Lama (Old Klang Road),3,2,Built-up ,2378,0
20,1720000,6,3,Condominium (Corner),"Built-up : 2,020 sq. ft.",Partly Furnished,Mont Kiara,3,2,Built-up ,2020,0
21,4280000,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,2195,0
22,2300000,2,1,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished,KLCC,1,0,Built-up ,1023,0
23,4200000,5,5,Bungalow,Land area : 5274 sq. ft.,Partly Furnished,Damansara Heights,6,0,Land area ,5274,0
24,2700000,4,3,Serviced Residence (Corner),"Built-up : 3,095 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,3095,0
25,1080000,2,1,Serviced Residence,Built-up : 896 sq. ft.,Fully Furnished,Mont Kiara,2,0,Built-up ,896,0
26,1150000,2,2,Condominium (Corner),"Built-up : 1,200 sq. ft.",Partly Furnished,Mont Kiara,3,0,Built-up ,1200,0
27,1070000,4,4,Condominium (EndLot),"Built-up : 1,772 sq. ft.",Partly Furnished,Bukit Jalil,4,1,Built-up ,1772,0
28,930000,3,2,Condominium (EndLot),"Built-up : 1,513 sq. ft.",Partly Furnished,Bukit Jalil,4,0,Built-up ,1513,0
29,780000,2,1,Serviced Residence (Corner),Built-up : 880 sq. ft.,Partly Furnished,Bangsar South,2,0,Built-up ,880,0
30,4098000,3,2,Serviced Residence (Intermediate),"Built-up : 2,066 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2066,0
31,1800000,2,1,Serviced Residence (Duplex),"Built-up : 1,244 sq. ft.",Fully Furnished,KL City,2,0,Built-up ,1244,0
32,2300000,5,2,Condominium (Corner),"Built-up : 2,702 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,2702,0
33,4000000,3,2,Condominium (Intermediate),"Built-up : 2,250 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,2250,0
34,4800000,6,3,Condominium,"Built-up : 4,300 sq. ft.",Partly Furnished,Ampang Hilir,5,0,Built-up ,4300,0
35,3780000,5,4,Condominium (Corner),"Built-up : 3,628 sq. ft.",Partly Furnished,Ampang Hilir,4,1,Built-up ,3628,0
36,850000,2,1,Serviced Residence,"Built-up : 1,050 sq. ft.",Fully Furnished,Bangsar South,2,1,Built-up ,1050,0
37,1698800,2,1,Serviced Residence (Intermediate),"Built-up : 1,227 sq. ft.",Fully Furnished,KLCC,2,0,Built-up ,1227,0
38,999000,4,2,3-sty Terrace/Link House (Intermediate),"Built-up : 2,512 sq. ft.",Partly Furnished,Sungai Besi,4,1,Built-up ,2512,0
39,3500000,1,1,Serviced Residence,"Built-up : 1,648 sq. ft.",Partly Furnished,KL Sentral,1,0,Built-up ,1648,0
40,1500000,2,1,Serviced Residence (Corner),"Built-up : 1,022 sq. ft.",Fully Furnished,KLCC,2,0,Built-up ,1022,0
41,2300000,2,1,Serviced Residence (Intermediate),"Built-up : 1,023 sq. ft.",Partly Furnished,KLCC,1,0,Built-up ,1023,0
42,1830000,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,1830,0
43,580000,2,2,Condominium (Corner),"Built-up : 1,550 sq. ft.",Partly Furnished,Setapak,4,1,Built-up ,1550,0
44,2180000,4,3,Condominium (Corner),"Built-up : 3,000 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,3000,0
45,2030000,5,2,Condominium,"Built-up : 2,356 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,2356,0
46,3450000,6,3,Condominium,"Built-up : 3,720 sq. ft.",Fully Furnished,Mont Kiara,4,1,Built-up ,3720,0
47,4080000,5,2,Condominium (Corner),"Built-up : 3,713 sq. ft.",Partly Furnished,City Centre,4,1,Built-up ,3713,0
48,2880000,3,4,2-sty Terrace/Link House (Corner),Land area : 4244 sq. ft.,Partly Furnished,Taman Tun Dr Ismail,4,1,Land area ,4244,0
49,1799000,1,1,Serviced Residence,Built-up : 720 sq. ft.,Fully Furnished,KLCC,1,0,Built-up ,720,0
50,1820000,2,2,Condominium (Corner),"Built-up : 1,159 sq. ft.",Fully Furnished,KLCC,2,1,Built-up ,1159,0
51,1000000,3,2,Serviced Residence (Corner),"Built-up : 1,313 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,1313,0
52,1650000,5,2,Condominium (Corner),"Built-up : 1,905 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,1905,0
53,2300000,1,2,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished,KLCC,1,0,Built-up ,1023,0
54,2400000,5,3,Condominium,Land area : 2702 sq. ft.,Partly Furnished,Mont Kiara,4,1,Land area ,2702,0
55,2055000,1,1,Serviced Residence (Intermediate),Built-up : 797 sq. ft.,Partly Furnished,KLCC,1,1,Built-up ,797,0
56,1714000,1,1,Serviced Residence (Intermediate),Built-up : 700 sq. ft.,Partly Furnished,KLCC,1,0,Built-up ,700,0
57,2300000,4,3,Serviced Residence (Corner),"Built-up : 3,282 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,3282,0
58,920000,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished,Bukit Jalil,4,1,Built-up ,1513,0
59,2300000,1,2,Serviced Residence (Intermediate),"Built-up : 1,046 sq. ft.",Partly Furnished,KLCC,1,0,Built-up ,1046,0
60,4995000,7,6,Bungalow,Land area : 8113 sq. ft.,Partly Furnished,Taman Tun Dr Ismail,5,1,Land area ,8113,0
61,1850000,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,1830,0
62,1783000,2,1,Condominium,Built-up : 976 sq. ft.,Partly Furnished,KLCC,2,0,Built-up ,976,0
63,1180000,4,1,Condominium (Intermediate),"Built-up : 1,942 sq. ft.",Partly Furnished,Dutamas,3,1,Built-up ,1942,0
64,1700000,2,1,Serviced Residence (Intermediate),"Built-up : 1,442 sq. ft.",Fully Furnished,City Centre,2,1,Built-up ,1442,0
65,3100000,6,3,Condominium (Corner),"Built-up : 3,400 sq. ft.",Fully Furnished,Mont Kiara,4,1,Built-up ,3400,0
66,630000,2,2,Serviced Residence,Built-up : 791 sq. ft.,Partly Furnished,Bukit Jalil,2,0,Built-up ,791,0
67,1780000,1,1,Serviced Residence (Corner),Built-up : 728 sq. ft.,Fully Furnished,KLCC,1,0,Built-up ,728,0
68,1050000,2,2,Condominium,"Built-up : 1,389 sq. ft.",Partly Furnished,Desa ParkCity,2,1,Built-up ,1389,0
69,2600000,4,3,Condominium,"Built-up : 3,041 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,3041,0
70,630000,1,1,Serviced Residence,Built-up : 663 sq. ft.,Partly Furnished,Bangsar South,1,1,Built-up ,663,0
71,3364000,2,2,Serviced Residence,"Built-up : 1,399 sq. ft.",Fully Furnished,KLCC,2,1,Built-up ,1399,0
72,978000,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished,Bukit Jalil,4,1,Built-up ,1513,0
73,3600000,5,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,3897,0
74,2000000,1,1,Serviced Residence,"Built-up : 1,087 sq. ft.",Fully Furnished,KLCC,1,0,Built-up ,1087,0
75,1630000,4,2,Condominium,"Built-up : 2,065 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,2065,0
76,1250000,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished,KLCC,2,0,Built-up ,736,0
77,630000,1,1,Serviced Residence,Built-up : 650 sq. ft.,Fully Furnished,Bangsar South,1,1,Built-up ,650,0
78,1350000,2,1,Serviced Residence,"Built-up : 1,050 sq. ft.",Fully Furnished,KLCC,2,0,Built-up ,1050,0
79,490000,1,1,Serviced Residence (Intermediate),Built-up : 500 sq. ft.,Fully Furnished,Bangsar South,1,0,Built-up ,500,0
80,800000,2,1,Serviced Residence (Corner),Built-up : 825 sq. ft.,Partly Furnished,Bangsar South,2,0,Built-up ,825,0
81,1035000,5,2,Condominium,"Built-up : 1,853 sq. ft.",Unknown,Dutamas,3,1,Built-up ,1853,0
82,1000000,1,1,Condominium (EndLot),Built-up : 657 sq. ft.,Fully Furnished,KLCC,1,0,Built-up ,657,0
83,448800,3,1,Serviced Residence (Intermediate),"Built-up : 1,045 sq. ft.",Unfurnished,Sungai Besi,3,0,Built-up ,1045,0
84,2480000,5,3,Condominium (Corner),"Built-up : 3,041 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,3041,0
85,2716000,4,2,Serviced Residence (Corner),"Built-up : 2,227 sq. ft.",Partly Furnished,KL Sentral,3,1,Built-up ,2227,0
86,9500000,7,6,Bungalow (Corner),Land area : 10000 sq. ft.,Partly Furnished,Country Heights Damansara,6,1,Land area ,10000,0
87,500000,2,1,Serviced Residence (Corner),Built-up : 715 sq. ft.,Partly Furnished,Taman Desa,2,0,Built-up ,715,0
88,13800000,7,3,Bungalow (Corner),Land area : 7500 sq. ft.,Partly Furnished,Damansara Heights,5,1,Land area ,7500,0
89,2480000,5,3,Condominium,"Built-up : 3,041 sq. ft.",Unfurnished,Mont Kiara,4,1,Built-up ,3041,0
90,3500000,3,1,Serviced Residence,"Built-up : 1,560 sq. ft.",Fully Furnished,KLCC,3,0,Built-up ,1560,0
91,3600000,4,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,3897,0
92,1060000,4,4,Condominium (Corner),"Built-up : 1,772 sq. ft.",Partly Furnished,Bukit Jalil,4,1,Built-up ,1772,0
93,900000,3,3,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished,Bukit Jalil,4,1,Built-up ,1513,0
94,1850000,1,1,Condominium (Corner),"Built-up : 2,174 sq. ft.",Partly Furnished,KLCC,3,0,Built-up ,2174,0
95,668000,3,3,Condominium (Corner),"Built-up : 1,345 sq. ft.",Fully Furnished,Sentul,3,1,Built-up ,1345,0
96,1050000,3,2,Serviced Residence (Intermediate),"Built-up : 1,313 sq. ft.",Fully Furnished,KLCC,2,2,Built-up ,1313,0
97,2998000,3,2,Condominium (Intermediate),"Built-up : 3,218 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,3218,0
98,2580000,3,2,Condominium (Intermediate),"Built-up : 2,809 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2809,0
99,1100000,2,1,Serviced Residence (Corner),Built-up : 880 sq. ft.,Fully Furnished,KLCC,2,0,Built-up ,880,0
100,3600000,3,2,Serviced Residence (Penthouse),"Built-up : 3,897 sq. ft.",Partly Furnished,KLCC,4,1,Built-up ,3897,0
101,2900000,4,3,Condominium,"Built-up : 2,809 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,2809,0
102,670000,2,2,Condominium,"Built-up : 1,085 sq. ft.",Partly Furnished,Sentul,3,0,Built-up ,1085,0
103,1350000,2,2,Condominium (Intermediate),"Built-up : 1,292 sq. ft.",Partly Furnished,Desa ParkCity,2,0,Built-up ,1292,0
104,1900000,2,1,Condominium,Built-up : 915 sq. ft.,Partly Furnished,KLCC,2,0,Built-up ,915,0
105,1450000,2,2,Serviced Residence (Corner),"Built-up : 1,090 sq. ft.",Fully Furnished,KLCC,2,0,Built-up ,1090,0
106,1300000,1,1,Serviced Residence,Built-up : 925 sq. ft.,Partly Furnished,KLCC,1,0,Built-up ,925,0
107,3600000,4,2,Serviced Residence (Corner),"Built-up : 3,897 sq. ft.",Partly Furnished,KLCC,3,0,Built-up ,3897,0
108,5350000,5,3,Bungalow,Land area : 7200 sq. ft.,Partly Furnished,Taman Tun Dr Ismail,6,0,Land area ,7200,0
109,1050000,4,4,Condominium,"Built-up : 1,772 sq. ft.",Partly Furnished,Bukit Jalil,4,1,Built-up ,1772,0
110,1200000,4,4,Condominium,"Built-up : 1,930 sq. ft.",Partly Furnished,Bukit Jalil,5,1,Built-up ,1930,0
111,900000,3,2,Condominium,"Built-up : 1,513 sq. ft.",Partly Furnished,Bukit Jalil,4,1,Built-up ,1513,0
112,2251800,4,2,Serviced Residence,"Built-up : 1,668 sq. ft.",Partly Furnished,Damansara Heights,2,1,Built-up ,1668,0
113,998000,5,4,3-sty Terrace/Link House (EndLot),Land area : 1650 sq. ft.,Partly Furnished,Bukit Jalil,5,1,Land area ,1650,0
114,1550000,4,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,1496,0
115,780000,3,2,Condominium (Corner),"Built-up : 1,368 sq. ft.",Partly Furnished,Setapak,3,0,Built-up ,1368,0
116,1380000,2,2,Condominium (Intermediate),"Built-up : 1,292 sq. ft.",Partly Furnished,Desa ParkCity,2,0,Built-up ,1292,0
117,1798000,3,2,3-sty Terrace/Link House (Intermediate),"Built-up : 2,200 sq. ft.",Partly Furnished,Desa ParkCity,3,1,Built-up ,2200,0
118,1268000,3,1,Condominium (Corner),"Built-up : 1,619 sq. ft.",Fully Furnished,KLCC,3,0,Built-up ,1619,0
119,2600000,4,3,Condominium,"Built-up : 2,809 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,2809,0
120,4200000,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2195,0
121,3330000,3,1,Serviced Residence (Corner),"Built-up : 2,789 sq. ft.",Fully Furnished,KLCC,2,1,Built-up ,2789,0
122,2600000,2,1,Serviced Residence (Intermediate),"Built-up : 1,184 sq. ft.",Fully Furnished,KLCC,2,0,Built-up ,1184,0
123,1950000,2,1,Serviced Residence (Intermediate),"Built-up : 1,076 sq. ft.",Partly Furnished,KLCC,1,1,Built-up ,1076,0
124,1400000,2,1,Serviced Residence (Corner),"Built-up : 1,050 sq. ft.",Fully Furnished,KLCC,2,0,Built-up ,1050,0
125,6500000,5,4,Bungalow,Land area : 7200 sq. ft.,Partly Furnished,Damansara Heights,6,0,Land area ,7200,0
126,1800000,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished,Mont Kiara,4,0,Built-up ,1830,0
127,3800000,5,4,Bungalow (Corner),"Built-up : 4,067 sq. ft.",Partly Furnished,Bangsar,4,1,Built-up ,4067,0
128,3600000,5,2,Serviced Residence (Penthouse),"Built-up : 3,897 sq. ft.",Unknown,KLCC,3,2,Built-up ,3897,0
129,635000,4,2,Condominium (Corner),"Built-up : 1,643 sq. ft.",Partly Furnished,Segambut,3,1,Built-up ,1643,0
130,5070000,4,3,Serviced Residence (Corner),"Built-up : 2,142 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2142,0
131,1207000,1,1,Serviced Residence (Intermediate),Built-up : 685 sq. ft.,Partly Furnished,KL City,0,0,Built-up ,685,1
132,1177000,1,1,Serviced Residence (Intermediate),Built-up : 717 sq. ft.,Partly Furnished,KL City,2,0,Built-up ,717,0
133,700000,2,2,Condominium,"Built-up : 1,152 sq. ft.",Partly Furnished,Wangsa Maju,3,0,Built-up ,1152,0
134,3785400,5,3,Condominium (Duplex),"Built-up : 3,907 sq. ft.",Partly Furnished,Mont Kiara,5,1,Built-up ,3907,0
135,1300000,2,2,Condominium,Built-up : 871 sq. ft.,Fully Furnished,KLCC,2,0,Built-up ,871,0
136,960000,4,2,Condominium (Corner),"Built-up : 1,488 sq. ft.",Unfurnished,Sentul,3,1,Built-up ,1488,0
137,490000,2,2,Condominium,"Built-up : 1,065 sq. ft.",Unfurnished,KL City,4,0,Built-up ,1065,0
138,4200000,5,3,Condominium (Corner),"Built-up : 3,709 sq. ft.",Partly Furnished,Mont Kiara,5,1,Built-up ,3709,0
139,1450000,1,1,Serviced Residence (EndLot),"Built-up : 1,050 sq. ft.",Fully Furnished,KLCC,2,0,Built-up ,1050,0
140,2380000,4,3,Condominium (Corner),"Built-up : 2,454 sq. ft.",Fully Furnished,Desa ParkCity,4,1,Built-up ,2454,0
141,1210000,6,4,3-sty Terrace/Link House (Intermediate),"Built-up : 3,400 sq. ft.",Partly Furnished,Bukit Jalil,5,1,Built-up ,3400,0
142,4995000,7,6,Bungalow (Intermediate),Land area : 8113 sq. ft.,Partly Furnished,Taman Tun Dr Ismail,5,1,Land area ,8113,0
143,1900000,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,1830,0
144,2700000,2,2,Serviced Residence,"Built-up : 1,195 sq. ft.",Partly Furnished,KLCC,2,0,Built-up ,1195,0
145,6300000,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2195,0
146,1900000,2,1,Condominium,Built-up : 915 sq. ft.,Fully Furnished,KLCC,2,1,Built-up ,915,0
147,3000000,5,3,Condominium,"Built-up : 3,218 sq. ft.",Partly Furnished,KLCC,4,1,Built-up ,3218,0
148,1000000,1,1,Condominium (EndLot),Built-up : 751 sq. ft.,Partly Furnished,KLCC,1,0,Built-up ,751,0
149,2000000,2,1,Serviced Residence (Corner),"Built-up : 1,350 sq. ft.",Fully Furnished,KLCC,2,1,Built-up ,1350,0
150,6380000,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2195,0
151,676775,3,4,Serviced Residence (Intermediate),"Built-up : 1,265 sq. ft.",Partly Furnished,Batu Caves,3,1,Built-up ,1265,0
152,1830000,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,1830,0
153,1750000,3,1,Serviced Residence,"Built-up : 1,442 sq. ft.",Partly Furnished,City Centre,2,1,Built-up ,1442,0
154,1780000,3,2,2-sty Terrace/Link House (Intermediate),"Built-up : 2,400 sq. ft.",Fully Furnished,Desa ParkCity,3,1,Built-up ,2400,0
155,1200000,4,4,Condominium (Corner),"Built-up : 1,930 sq. ft.",Partly Furnished,Bukit Jalil,5,1,Built-up ,1930,0
156,2300000,2,1,Serviced Residence,"Built-up : 1,046 sq. ft.",Partly Furnished,KLCC,1,0,Built-up ,1046,0
157,1600000,3,2,Condominium,"Built-up : 1,878 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,1878,0
158,1291000,4,3,Condominium,"Built-up : 2,069 sq. ft.",Partly Furnished,Mont Kiara,5,1,Built-up ,2069,0
159,880000,1,1,Serviced Residence,Built-up : 710 sq. ft.,Fully Furnished,KLCC,1,0,Built-up ,710,0
160,655000,2,2,Serviced Residence (Corner),"Built-up : 1,094 sq. ft.",Partly Furnished,Jalan Klang Lama (Old Klang Road),3,1,Built-up ,1094,0
161,1400000,4,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,1496,0
162,7975250,6,2,Serviced Residence (Penthouse),"Built-up : 2,975 sq. ft.",Fully Furnished,KLCC,4,1,Built-up ,2975,0
163,1100000,2,2,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished,Mont Kiara,3,0,Built-up ,1200,0
164,1238000,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished,KLCC,2,0,Built-up ,736,0
165,750000,2,1,Serviced Residence (Intermediate),Built-up : 823 sq. ft.,Partly Furnished,Bangsar South,2,0,Built-up ,823,0
166,2100000,4,2,Condominium (Corner),"Built-up : 2,153 sq. ft.",Partly Furnished,Damansara Heights,3,1,Built-up ,2153,0
167,1500000,2,2,Condominium,"Built-up : 1,200 sq. ft.",Fully Furnished,Mont Kiara,3,0,Built-up ,1200,0
168,2300000,6,3,Condominium (Corner),"Built-up : 2,702 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,2702,0
169,990000,3,2,Serviced Residence (Corner),"Built-up : 1,313 sq. ft.",Fully Furnished,KLCC,2,2,Built-up ,1313,0
170,3960000,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2195,0
171,2700000,2,2,Serviced Residence (Corner),"Built-up : 1,184 sq. ft.",Fully Furnished,KLCC,2,0,Built-up ,1184,0
172,1900000,2,1,Serviced Residence (Intermediate),"Built-up : 1,087 sq. ft.",Fully Furnished,KLCC,1,1,Built-up ,1087,0
